case:concept:name,concept:name,time:timestamp,org:resource,booking_period,desk,product,currency,counterparty_tier,notional_usd
BK-0001,Trade Captured,2026-01-05T08:00:00Z,trader_02,baseline,FX,FX Forward,EUR,Tier 1,42238000.0
BK-0001,Validate Economics,2026-01-05T08:11:00Z,ops_analyst_03,baseline,FX,FX Forward,EUR,Tier 1,42238000.0
BK-0001,Enrich Counterparty,2026-01-05T08:25:00Z,static_data_01,baseline,FX,FX Forward,EUR,Tier 1,42238000.0
BK-0001,Compliance Check,2026-01-05T08:39:00Z,compliance_02,baseline,FX,FX Forward,EUR,Tier 1,42238000.0
BK-0001,Credit Check,2026-01-05T08:52:00Z,credit_02,baseline,FX,FX Forward,EUR,Tier 1,42238000.0
BK-0001,Confirm Booking,2026-01-05T09:15:00Z,confirmations_01,baseline,FX,FX Forward,EUR,Tier 1,42238000.0
BK-0001,Post to Ledger,2026-01-05T09:24:00Z,ledger_bot_01,baseline,FX,FX Forward,EUR,Tier 1,42238000.0
BK-0001,Booking Complete,2026-01-05T09:27:00Z,workflow_bot_01,baseline,FX,FX Forward,EUR,Tier 1,42238000.0
BK-0002,Trade Captured,2026-01-05T10:00:00Z,trader_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,11872000.0
BK-0002,Validate Economics,2026-01-05T10:16:00Z,ops_analyst_02,baseline,Rates,Interest Rate Swap,JPY,Tier 1,11872000.0
BK-0002,Enrich Counterparty,2026-01-05T10:24:00Z,static_data_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,11872000.0
BK-0002,Compliance Check,2026-01-05T10:36:00Z,compliance_02,baseline,Rates,Interest Rate Swap,JPY,Tier 1,11872000.0
BK-0002,Credit Check,2026-01-05T10:53:00Z,credit_02,baseline,Rates,Interest Rate Swap,JPY,Tier 1,11872000.0
BK-0002,Confirm Booking,2026-01-05T11:16:00Z,confirmations_02,baseline,Rates,Interest Rate Swap,JPY,Tier 1,11872000.0
BK-0002,Post to Ledger,2026-01-05T11:25:00Z,ledger_bot_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,11872000.0
BK-0002,Booking Complete,2026-01-05T11:28:00Z,workflow_bot_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,11872000.0
BK-0003,Trade Captured,2026-01-05T12:00:00Z,trader_03,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
BK-0003,Validate Economics,2026-01-05T12:13:00Z,ops_analyst_03,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
BK-0003,Amend Booking,2026-01-05T12:25:00Z,ops_analyst_02,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
BK-0003,Validate Economics,2026-01-05T12:36:00Z,ops_analyst_02,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
BK-0003,Enrich Counterparty,2026-01-05T12:44:00Z,static_data_01,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
BK-0003,Compliance Check,2026-01-05T12:58:00Z,compliance_01,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
BK-0003,Credit Check,2026-01-05T13:09:00Z,credit_01,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
